17,Morni,Sunanda Sharma,/autopush/in/itunes/charts/songs/images/2018/8/3420d4ad95ede1863f27fb950aa825ac1800d55bfb072b7c1c0827fc464ae922.jpg,https://itunes.apple.com/in/album/morni/1421794598?i=1421794993&uo=4&v0=WWW-APIN-ITSTOP100-SONGS&l=en,,
18,Faded,Alan Walker,/autopush/in/itunes/charts/songs/images/2018/8/0a13d4905ff2c5717dc859b385ec78840bfbdbc3c599b531d079495601b539a0.jpg,https://itunes.apple.com/in/album/faded/1196294554?i=1196294581&uo=4&v0=WWW-APIN-ITSTOP100-SONGS&l=en,,
19,Ishare Tere,Guru Randhawa & Dhvani Bhanushali,/autopush/in/itunes/charts/songs/images/2018/8/0d59addc13916bd443e21903f34fdaa01e19eba393822ce6a132471a9f3de9f2.jpg,https://itunes.apple.com/in/album/ishare-tere/1417043673?i=1417043675&uo=4&v0=WWW-APIN-ITSTOP100-SONGS&l=en,,
20,Prada,Jass Manak,/autopush/in/itunes/charts/songs/images/2018/8/4ddda7a47df2125f0380499b81598d7ac581dcb62512f57a22278977c3e3ae6c.jpg,https://itunes.apple.com/in/album/prada/1398566555?i=1398567013&uo=4&v0=WWW-APIN-ITSTOP100-SONGS&l=en,,
21,Believer,Imagine Dragons,/autopush/in/itunes/charts/songs/images/2018/8/32912740cc210bebe0fe5a8c4d0bef5c50765af3734d8344395876a43616cff7.jpg,https://itunes.apple.com/in/album/believer/1411625594?i=1411628233&uo=4&v0=WWW-APIN-ITSTOP100-SONGS&l=en,,
22,Paniyon Sa,Atif Aslam & Tulsi Kumar,/autopush/in/itunes/charts/songs/images/2018/8/11f966b30b2553388bf647ee770828159093321451473a37020b27f88f7372b9.jpg,https://itunes.apple.com/in/album/paniyon-sa/1420435167?i=1420435176&uo=4&v0=WWW-APIN-ITSTOP100-SONGS&l=en,,
23,"Daryaa (From ""Manmarziyaan"")",Amit Trivedi, Ammy Virk & Shahid Mallya,/autopush/in/itunes/charts/songs/images/2018/8/9e6b22d336b96ddb8849719040f80b50c137300fb85ec06afb0da437cdd3ebbc.jpg,https://itunes.apple.com/in/album/daryaa-from-manmarziyaan/1425334251?i=1425334252&uo=4&v0=WWW-APIN-ITSTOP100-SONGS&l=en,
24,Dil Diyan Gallan,Atif Aslam,/autopush/in/itunes/charts/songs/images/2018/8/ab9d063f24d59b363016adc42d23be608eb94df6c3992619eec9de182a788e30.jpg,https://itunes.apple.com/in/album/dil-diyan-gallan/1324456542?i=1324456545&uo=4&v0=WWW-APIN-ITSTOP100-SONGS&l=en,,
25,Bom Diggy Diggy,Zack Knight & Jasmin Walia,/autopush/in/itunes/charts/songs/images/2018/8/992dd5a3c8da64b8fe5d437df68e2af0ea2d7989e0c77ef867b1cbb85a641050.jpg,https://itunes.apple.com/in/album/bom-diggy-diggy/1348996807?i=1348996914&uo=4&v0=WWW-APIN-ITSTOP100-SONGS&l=en,,
26,"Heeriye (From ""Race 3"")",Meet Bros, Deep Money & Neha Bhasin,/autopush/in/itunes/charts/songs/images/2018/8/b8ec69f1f2c560f20ba47b5ccd6c857b7be414dc37294a6b82007088a8fd2c06.jpg,https://itunes.apple.com/in/album/heeriye-from-race-3/1387813891?i=1387813893&uo=4&v0=WWW-APIN-ITSTOP100-SONGS&l=en,
27,Havana (feat. Young Thug),Camila Cabello,/autopush/in/itunes/charts/songs/images/2018/8/3ff13434ecd34798f59c64c20cde3c347dd54de4e736649683c22327619cff3c.jpg,https://itunes.apple.com/in/album/havana-feat-young-thug/1321216767?i=1321217032&uo=4&v0=WWW-APIN-ITSTOP100-SONGS&l=en,,
28,"High Rated Gabru (From ""Nawabzaade"")",Guru Randhawa,/autopush/in/itunes/charts/songs/images/2018/8/f24b51063ea86df5b2411b3db5513322270c9e7838d7df4c8a8226e722499c74.jpg,https://itunes.apple.com/in/album/high-rated-gabru-from-nawabzaade/1404767809?i=1404767821&uo=4&v0=WWW-APIN-ITSTOP100-SONGS&l=en,,
29,Ae Watan (Male Version),Arijit Singh,/autopush/in/itunes/charts/songs/images/2018/8/b36be36fae712fc5648f2eb19469e7fc56c6b27db95077e389f40bd8062cff15.jpg,https://itunes.apple.com/in/album/ae-watan-male-version/1373693427?i=1373693815&uo=4&v0=WWW-APIN-ITSTOP100-SONGS&l=en,,
30,Pehli Baar,Ajay Gogavale,/autopush/in/itunes/charts/songs/images/2018/8/7028ada75f0a85d123b4105afee436c1187668d63d52d26ea46874b8ad37cd2b.jpg,https://itunes.apple.com/in/album/pehli-baar/1410619515?i=1410619518&uo=4&v0=WWW-APIN-ITSTOP100-SONGS&l=en,,
